registered pins: 183
pin 0 (GPIO_0) 0:AMDI0030:00 
pin 1 (GPIO_1) 1:AMDI0030:00 
pin 2 (GPIO_2) 2:AMDI0030:00 
pin 3 (GPIO_3) 3:AMDI0030:00 
pin 4 (GPIO_4) 4:AMDI0030:00 
pin 5 (GPIO_5) 5:AMDI0030:00 
pin 6 (GPIO_6) 6:AMDI0030:00 
pin 7 (GPIO_7) 7:AMDI0030:00 
pin 8 (GPIO_8) 8:AMDI0030:00 
pin 9 (GPIO_9) 9:AMDI0030:00 
pin 10 (GPIO_10) 10:AMDI0030:00 
pin 11 (GPIO_11) 11:AMDI0030:00 
pin 12 (GPIO_12) 12:AMDI0030:00 
pin 13 (GPIO_13) 13:AMDI0030:00 
pin 14 (GPIO_14) 14:AMDI0030:00 
pin 15 (GPIO_15) 15:AMDI0030:00 
pin 16 (GPIO_16) 16:AMDI0030:00 
pin 17 (GPIO_17) 17:AMDI0030:00 
pin 18 (GPIO_18) 18:AMDI0030:00 
pin 19 (GPIO_19) 19:AMDI0030:00 
pin 20 (GPIO_20) 20:AMDI0030:00 
pin 21 (GPIO_21) 21:AMDI0030:00 
pin 22 (GPIO_22) 22:AMDI0030:00 
pin 23 (GPIO_23) 23:AMDI0030:00 
pin 24 (GPIO_24) 24:AMDI0030:00 
pin 25 (GPIO_25) 25:AMDI0030:00 
pin 26 (GPIO_26) 26:AMDI0030:00 
pin 27 (GPIO_27) 27:AMDI0030:00 
pin 28 (GPIO_28) 28:AMDI0030:00 
pin 29 (GPIO_29) 29:AMDI0030:00 
pin 30 (GPIO_30) 30:AMDI0030:00 
pin 31 (GPIO_31) 31:AMDI0030:00 
pin 32 (GPIO_32) 32:AMDI0030:00 
pin 33 (GPIO_33) 33:AMDI0030:00 
pin 34 (GPIO_34) 34:AMDI0030:00 
pin 35 (GPIO_35) 35:AMDI0030:00 
pin 36 (GPIO_36) 36:AMDI0030:00 
pin 37 (GPIO_37) 37:AMDI0030:00 
pin 38 (GPIO_38) 38:AMDI0030:00 
pin 39 (GPIO_39) 39:AMDI0030:00 
pin 40 (GPIO_40) 40:AMDI0030:00 
pin 41 (GPIO_41) 41:AMDI0030:00 
pin 42 (GPIO_42) 42:AMDI0030:00 
pin 43 (GPIO_43) 43:AMDI0030:00 
pin 44 (GPIO_44) 44:AMDI0030:00 
pin 45 (GPIO_45) 45:AMDI0030:00 
pin 46 (GPIO_46) 46:AMDI0030:00 
pin 47 (GPIO_47) 47:AMDI0030:00 
pin 48 (GPIO_48) 48:AMDI0030:00 
pin 49 (GPIO_49) 49:AMDI0030:00 
pin 50 (GPIO_50) 50:AMDI0030:00 
pin 51 (GPIO_51) 51:AMDI0030:00 
pin 52 (GPIO_52) 52:AMDI0030:00 
pin 53 (GPIO_53) 53:AMDI0030:00 
pin 54 (GPIO_54) 54:AMDI0030:00 
pin 55 (GPIO_55) 55:AMDI0030:00 
pin 56 (GPIO_56) 56:AMDI0030:00 
pin 57 (GPIO_57) 57:AMDI0030:00 
pin 58 (GPIO_58) 58:AMDI0030:00 
pin 59 (GPIO_59) 59:AMDI0030:00 
pin 60 (GPIO_60) 60:AMDI0030:00 
pin 61 (GPIO_61) 61:AMDI0030:00 
pin 62 (GPIO_62) 62:AMDI0030:00 
pin 64 (GPIO_64) 64:AMDI0030:00 
pin 65 (GPIO_65) 65:AMDI0030:00 
pin 66 (GPIO_66) 66:AMDI0030:00 
pin 67 (GPIO_67) 67:AMDI0030:00 
pin 68 (GPIO_68) 68:AMDI0030:00 
pin 69 (GPIO_69) 69:AMDI0030:00 
pin 70 (GPIO_70) 70:AMDI0030:00 
pin 71 (GPIO_71) 71:AMDI0030:00 
pin 72 (GPIO_72) 72:AMDI0030:00 
pin 73 (GPIO_73) 73:AMDI0030:00 
pin 74 (GPIO_74) 74:AMDI0030:00 
pin 75 (GPIO_75) 75:AMDI0030:00 
pin 76 (GPIO_76) 76:AMDI0030:00 
pin 77 (GPIO_77) 77:AMDI0030:00 
pin 78 (GPIO_78) 78:AMDI0030:00 
pin 79 (GPIO_79) 79:AMDI0030:00 
pin 80 (GPIO_80) 80:AMDI0030:00 
pin 81 (GPIO_81) 81:AMDI0030:00 
pin 82 (GPIO_82) 82:AMDI0030:00 
pin 83 (GPIO_83) 83:AMDI0030:00 
pin 84 (GPIO_84) 84:AMDI0030:00 
pin 85 (GPIO_85) 85:AMDI0030:00 
pin 86 (GPIO_86) 86:AMDI0030:00 
pin 87 (GPIO_87) 87:AMDI0030:00 
pin 88 (GPIO_88) 88:AMDI0030:00 
pin 89 (GPIO_89) 89:AMDI0030:00 
pin 90 (GPIO_90) 90:AMDI0030:00 
pin 91 (GPIO_91) 91:AMDI0030:00 
pin 92 (GPIO_92) 92:AMDI0030:00 
pin 93 (GPIO_93) 93:AMDI0030:00 
pin 94 (GPIO_94) 94:AMDI0030:00 
pin 95 (GPIO_95) 95:AMDI0030:00 
pin 96 (GPIO_96) 96:AMDI0030:00 
pin 97 (GPIO_97) 97:AMDI0030:00 
pin 98 (GPIO_98) 98:AMDI0030:00 
pin 99 (GPIO_99) 99:AMDI0030:00 
pin 100 (GPIO_100) 100:AMDI0030:00 
pin 101 (GPIO_101) 101:AMDI0030:00 
pin 102 (GPIO_102) 102:AMDI0030:00 
pin 103 (GPIO_103) 103:AMDI0030:00 
pin 104 (GPIO_104) 104:AMDI0030:00 
pin 105 (GPIO_105) 105:AMDI0030:00 
pin 106 (GPIO_106) 106:AMDI0030:00 
pin 107 (GPIO_107) 107:AMDI0030:00 
pin 108 (GPIO_108) 108:AMDI0030:00 
pin 109 (GPIO_109) 109:AMDI0030:00 
pin 110 (GPIO_110) 110:AMDI0030:00 
pin 111 (GPIO_111) 111:AMDI0030:00 
pin 112 (GPIO_112) 112:AMDI0030:00 
pin 113 (GPIO_113) 113:AMDI0030:00 
pin 114 (GPIO_114) 114:AMDI0030:00 
pin 115 (GPIO_115) 115:AMDI0030:00 
pin 116 (GPIO_116) 116:AMDI0030:00 
pin 117 (GPIO_117) 117:AMDI0030:00 
pin 118 (GPIO_118) 118:AMDI0030:00 
pin 119 (GPIO_119) 119:AMDI0030:00 
pin 120 (GPIO_120) 120:AMDI0030:00 
pin 121 (GPIO_121) 121:AMDI0030:00 
pin 122 (GPIO_122) 122:AMDI0030:00 
pin 123 (GPIO_123) 123:AMDI0030:00 
pin 124 (GPIO_124) 124:AMDI0030:00 
pin 125 (GPIO_125) 125:AMDI0030:00 
pin 126 (GPIO_126) 126:AMDI0030:00 
pin 127 (GPIO_127) 127:AMDI0030:00 
pin 128 (GPIO_128) 128:AMDI0030:00 
pin 129 (GPIO_129) 129:AMDI0030:00 
pin 130 (GPIO_130) 130:AMDI0030:00 
pin 131 (GPIO_131) 131:AMDI0030:00 
pin 132 (GPIO_132) 132:AMDI0030:00 
pin 133 (GPIO_133) 133:AMDI0030:00 
pin 134 (GPIO_134) 134:AMDI0030:00 
pin 135 (GPIO_135) 135:AMDI0030:00 
pin 136 (GPIO_136) 136:AMDI0030:00 
